,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,image
0,HP,Victus 15-fb0157AX Gaming Laptop,49900,73.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB AMD Radeon RX 6500M,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.pXUS-5nEdL1T5YoauTxXdwHaGS?rs=1&pid=ImgDetMain
1,HP,15s-fq5007TU Laptop,39900,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.DEaipclN3N15A0T5eKy7RQHaFj?rs=1&pid=ImgDetMain
2,Acer,One 14 Z8-415 Laptop,26990,69.32352941,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14.0,1920,1080,Windows 11 OS,1,https://5.imimg.com/data5/SELLER/Default/2023/9/341478600/KJ/DY/MF/48144274/acer-ao-14-z8-415-laptop-1000x1000.jpg
3,Lenovo,Yoga Slim 6 14IAP8 82WU0095IN Laptop,59729,66.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,14.0,2240,1400,Windows 11 OS,1,https://th.bing.com/th/id/OIP.-2fQu_gHPmlRtEWa6j6cTgHaFe?rs=1&pid=ImgDetMain
4,Apple,MacBook Air 2020 MGND3HN Laptop,69990,69.32352941,Apple M1,Octa Core (4P + 4E),8GB,DDR4,256GB,SSD,Apple M1 Integrated Graphics,13.3,2560,1600,Mac OS,1,https://th.bing.com/th/id/OIP.n0ahHRORZC7StV7zQ4bIkgHaHa?rs=1&pid=ImgDetMain
5,Acer,Extensa EX214-53 Laptop,39990,62.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14.0,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.1t2_M51pME9DRrTvQCAmKAHaFv?rs=1&pid=ImgDetMain
6,Dell,Inspiron 3520 D560896WIN9B Laptop,36790,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.-rhUDEJESl0O2NpHloZcUwHaHa?rs=1&pid=ImgDetMain
7,Acer,Nitro V ANV15-51 2023 Gaming Laptop,76990,63.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920,1080,Windows 11 OS,1,"https://static-ecapac.acer.com/media/catalog/product/a/c/acer-nitro-v-15-anv15-51-non-fingerprint-with-backlit-on-wp-black-01_nh.qn8sn.001.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=500&width=500&canvas=500:500"
8,Asus,Vivobook 15 X1502ZA-EJ523WS Laptop,48990,64.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920,1080,Windows 11 OS,1,"https://static.toiimg.com/thumb/resizemode-4,msid-91621672,imgsize-500,width-800/91621672.jpg"
9,Samsung,Galaxy Book2 Pro 13 Laptop,74990,68.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,13.3,1080,1920,Windows 11 OS,1,https://th.bing.com/th/id/OIP.OpuE1AafKXpE2h8VrRVcGgAAAA?rs=1&pid=ImgDetMain
10,Lenovo,V15 G3 IAP 82TTA08AIN Laptop,49990,69.32352941,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.gb6RCm9IIbC2KF0c1uTL3AHaFj?rs=1&pid=ImgDetMain
11,Ultimus,Pro NU14U3INC43BN-CS Laptop,10990,69.32352941,Intel Celeron  N4020,"Dual Core, 2 Threads",4GB,DDR4,128GB,SSD,Intel Integrated UHD Graphics,14.1,1366,768,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iEEwzHWbl-w420-h420/ultimus-pro-nu14u3in.jpg
12,Asus,TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop,72990,76.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iK5xstCYo-w1200-h1200/K5xstCYo.jpg
13,Primebook,4G Android Laptop,10990,69.32352941,MediaTek MTK8788,Octa Core,4GB,LPDDR4,64GB,Hard-Disk,ARM Mali G72,11.6,1366,768,Android 11 OS,1,https://cdn1.smartprix.com/rx-i6vI2Dy7k-w1200-h1200/6vI2Dy7k.jpg
14,Lenovo,V15 G4 ‎82YU00W7IN Laptop,29990,69.32352941,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,1,https://m.media-amazon.com/images/I/41kIqmz4S3L._SY300_SX300_QL70_FMwebp_.jpg
15,Asus,TUF Gaming F15 FX506HF-HN024W Gaming Laptop,53649,70.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1,https://etoc.ro/wp-content/uploads/2023/02/laptop-gaming-asus-tuf-f15-fx506hf-hn017-i5-11400h-15-6-inch-nvidia-geforce-gddr6-v4g-8gb-ddr4-3200.jpg
16,MSI,Modern 14 C11M-031IN Laptop,33990,69.32352941,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD,14.0,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-inuUD89MX-w500-h500/msi-modern-14-b11mou.jpg
17,Infinix,Zerobook 2023 Laptop,79990,71.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",32GB,LPDDR5X,1TB,SSD,Intel Integrated Iris Xe,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iH4FwlZ9q-w1200-h1200/H4FwlZ9q.jpg
18,HP,Victus 15-fa0666TX Gaming Laptop,68990,65.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iSNxRrMb0-w1200-h1200/SNxRrMb0.jpg
19,Lenovo,IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop,45990,71.0,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-ic4kSoRRN-w1200-h1200/c4kSoRRN.jpg
20,Asus,Vivobook 16X 2022 M1603QA-MB502WS Laptop,49900,65.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Vega 7,16.0,1920,1200,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iRUMXjHn3-w1200-h1200/RUMXjHn3.jpg
21,Apple,MacBook Air 2022 Laptop,104990,69.32352941,Apple M2,Octa Core (4P + 4E),8GB,DDR4,256GB,SSD,8-Core GPU,13.6,2560,1664,Mac OS,1,https://s3-eu-central-1.amazonaws.com/vodafone-featured/wp-content/uploads/2021/07/12094005/MacBook-Pro-Apple.jpg
22,Acer,Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop,54990,72.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.FzdvZ59fFIhYkUyKm6KdRQHaHa?rs=1&pid=ImgDetMain
23,HP,15s-fq2510tu Laptop,49580,64.0,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",16GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iPb2wI6sF-w1200-h1200/Pb2wI6sF.jpg
24,Asus,Vivobook 16X 2022 M1603QA-MB711WS Laptop,55990,71.0,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Vega 7,16.0,1920,1200,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iVvwR1dwc-w1200-h1200/VvwR1dwc.jpg
25,HP,15s-eq2132AU Laptop,43990,63.0,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon AMD,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-ivHoEIjqt-w1200-h1200/vHoEIjqt.jpg
26,HP,255 G9 840T7PA Laptop,19850,69.32352941,3rd Gen AMD Athlon 3050U,"Dual Core, 2 Threads",4GB,DDR4,256GB,SSD,AMD Integrated,15.6,1366,768,DOS OS,1,https://www.singhalinfosystems.in/Uploads/ProductsImages/Product_4a3fa2b8-e582-402d-8d9c-80bff1d0fd2f_0_255.png
27,Acer,Extensa 15 EX215-33 2023 Laptop,28990,69.32352941,Intel Core i3 N305,"Octa Core, 8 Threads",8GB,LPDDR5,512GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-i6jl64lx5-w1200-h1200/6jl64lx5.jpg
28,Acer,Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,54999,71.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iRqBQkcGT-w1200-h1200/RqBQkcGT.jpg
29,Dell,Inspiron 3530 Laptop,70990,69.32352941,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.TScptz_2rFywkV2j5eUErgHaHa?rs=1&pid=ImgDetMain
30,Lenovo,IdeaPad Gaming 3 82SB00V2IN Laptop,56889,60.0,6th Gen AMD Ryzen 5 6600H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-i5B0XsHc9-w420-h420/lenovo-ideapad-gamin.jpg
31,Acer,Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop,179880,78.0,13th Gen Intel Core i9 13900HX,"24 Cores (8P + 16E), 32 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4070,16.0,1920,1200,Windows 11 OS,1,https://cdn1.smartprix.com/rx-i30x39w0C-w1200-h1200/30x39w0C.jpg
32,HP,Victus 15-fb0150AX Gaming Laptop,53790,71.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB AMD Radeon RX 6500M Graphics,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.pXUS-5nEdL1T5YoauTxXdwHaGS?rs=1&pid=ImgDetMain
33,Acer,Aspire Lite AL15 Laptop,37990,60.0,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Graphics,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iwwyjnuOS-w1200-h1200/wwyjnuOS.jpg
34,Acer,Nitro 5 AN515-58 NH.QFSSI.001 Gaming Laptop,96990,77.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR4,1TB,SSD,8GB NVIDIA GeForce RTX 3070 Ti,15.6,2560,1440,Windows 11 OS,1,https://i.gadgets360cdn.com/products/large/acer-nitro-5-an515-58-1057x800-1641380414.jpg
35,HP,Pavilion 15-eg3081TU Laptop,71990,66.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Integrated,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iwTKv09Ye-w420-h420/hp-pavilion-15-eg308.jpg
36,HP,Victus 16-d0333TX Gaming Laptop,59990,75.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,16.1,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-ig5tK2dFn-w1200-h1200/g5tK2dFn.jpg
37,Lenovo,IdeaPad Slim 5 14IAH8 83BF0045IN Laptop,62990,60.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,LPDDR5,1TB,SSD,Intel Graphics,14.0,1920,1200,Windows 11 OS,1,"https://www.91-img.com/pictures/laptops/lenovo/lenovo-slim-5-14iah8-83bf000uin-159700-v1-large-1.jpg?tr=h-340,q=80"
38,Infinix,INBook X3 Slim XL422 2023 Laptop,30990,69.32352941,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,LPDDR4X,512GB,SSD,Intel Integrated Iris Xe,14.0,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iLhn1DjD8-w1200-h1200/Lhn1DjD8.jpg
39,Lenovo,LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop,74990,70.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1,https://p4-ofp.static.pub/fes/cms/2023/03/17/q3ulauoouu53z86i7mvh4of3e5uc7n075232.png
40,HP,15s-fr2515TU Laptop,36490,60.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1,https://uniquec.com/wp-content/uploads/FR2005-600x600.jpeg
41,Dell,G15-5520 2023 Laptop,77990,73.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB,DDR5,1TB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-i3GPqPjgq-w1200-h1200/3GPqPjgq.jpg
42,Samsung,Galaxy Book2 NP550XED-KA2IN Laptop,54990,62.0,12th Gen Intel Core i5 1235U ,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR4,512GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iViD83WUf-w420-h420/samsung-galaxy-book2.jpg
43,Lenovo,IdeaPad 3 15IAU7 82RK00WXIN Laptop,41190,69.32352941,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,256GB,SSD,Intel UHD Graphics ,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.6RiSIKnkAF1GK_4xoVpVhwHaFj?rs=1&pid=ImgDetMain
44,Asus,ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop,89990,70.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 3050,16.0,1920,1200,Windows 11 OS,1,https://dlcdnwebimgs.asus.com/gain/B7F82858-38C0-4A42-B751-5DE480B0ABB6
45,Lenovo,Legion 9i 2023 Laptop,399999,84.0,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",32GB,DDR5,1TB,SSD,16GB NVIDIA GeForce RTX 4090,16.0,3200,2000,Windows 11 OS,1,https://th.bing.com/th/id/OIP.67FFy-OJEjunVYoP6bQUvQHaGT?rs=1&pid=ImgDetMain
46,Wings,Nuvobook V1 Laptop,31990,69.32352941,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Graphics,15.6,1080,1920,Windows 11 OS,1,https://cdn1.smartprix.com/rx-igV9eMRNc-w1200-h1200/gV9eMRNc.jpg
47,Dell,Inspiron 3525 Laptop,31490,69.32352941,5th Gen AMD Ryzen 3 5300U,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Radeon Graphics,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.ku2MRKHQY1ZPeLkQ_hvOuwHaHa?rs=1&pid=ImgDetMain
48,HP,Victus 15-fa0555TX  Laptop,70590,71.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iBfuDJxSK-w1200-h1200/BfuDJxSK.jpg
49,Asus,TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop,104990,78.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16GB,DDR4,512GB,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iLzN4mD5u-w420-h420/asus-tuf-gaming-f15.jpg
50,Lenovo,V15 82QYA00MIN Laptop,23990,69.32352941,Intel Celeron  N4020,"Dual Core, 2 Threads",8GB,DDR4,256GB,SSD,Intel Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1,https://cdn-0.pricecomparison.pk/wp-content/uploads/2023/10/Lenovo-V15-82QYA00MIN-Laptop-1.jpg
51,HP,255 G9 7B1L8PA Laptop,37999,64.0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,15.6,1366,768,Windows 11 OS,1,https://starcomp.in/pub/media/catalog/product/cache/c28c9c99b35fec194bdfbe0c06e37109/7/b/7b1l8pa_jp.jpg
52,Honor,MagicBook X14 2023 ‎FRI-F56 Laptop,52990,66.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,Intel UHD Graphics,14.0,1920,1200,Windows 11 OS,1,https://www.hihonor.com/content/dam/honor/common/product-list/laptops/product-series/honor-magicbook-x14-2023/honor-magicbook-x14-2023-pc.png
53,Lenovo,V15 82KDA01BIH Laptop,30849,62.0,5th Gen AMD Ryzen 3 5300U,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,1,"https://static.toiimg.com/thumb/resizemode-4,msid-96061523,imgsize-200,width-600,imgv-1/96061523.jpg"
54,HP,Victus 15-fa0070TX Laptop,58990,70.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iSHkvKGZD-w1200-h1200/SHkvKGZD.jpg
55,Zebronics,ZEB-NBC 2S Laptop,34990,63.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16GB,LPDDR4X,512GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-i4I3Jn4iY-w1200-h1200/4I3Jn4iY.jpg
56,Lenovo,ThinkBook 15 Gen 5 21JF0026MJ Laptop,49990,69.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,AMD Radeon AMD,16.0,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iiAf5GNgw-w420-h420/lenovo-thinkbook-15.jpg
57,HP,15S-FQ5202TU Laptop,51780,69.32352941,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.FPLUXuQay6Fi9LnS0K30HgAAAA?rs=1&pid=ImgDetMain
58,Asus,TUF Gaming F15 FX506HE-HN382W Gaming Laptop,68990,71.0,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050 Ti,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-ixbttDw30-w1200-h1200/xbttDw30.jpg
59,Asus,TUF Gaming F15 FX577ZC-HN192W Gaming Laptop,85990,76.0,12th Gen Intel Core i7 12700H ,"14 Cores, 20 Threads",16GB,DDR5,1TB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1,https://i1.wp.com/www.rrstech.in/wp-content/uploads/2021/07/ASUS-TUF-Gaming-F15-2021-Intel-Core-i5-11th-Gen-Gaming-Laptop-review.jpg?resize=1024%2C1024&is-pending-load=1#038;ssl=1
60,Lenovo,LOQ 15IRH8 82XV00BQIN 2023 Gaming Laptop,96990,67.0,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.EcXK40rMn-eFaRIRN81qFgHaFL?rs=1&pid=ImgDetMain
61,Lenovo,Legion Y9000X 2023 Laptop,148990,80.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",32GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16.0,3200,2000,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iEXebmE5F-w1200-h1200/EXebmE5F.jpg
62,Asus,TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop,72990,75.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,17.3,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.ep8VN5kHngLQSjJUgSvmHQHaFj?rs=1&pid=ImgDetMain
63,Dell,Inspiron 5430 Laptop,84490,66.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,1TB,SSD,Intel Iris Xe Graphics,14.0,1920,1200,Windows 11 OS,1,https://m.media-amazon.com/images/I/41Z+3k3RD0L._SY300_SX300_.jpg
64,Asus,Vivobook 15 X1502ZA-EJ741WS Laptop,60990,67.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-ixUnNaUSE-w1200-h1200/xUnNaUSE.jpg
65,Infinix,INBook X2 Slim Series XL23 Laptop,33990,69.32352941,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16GB,LPDDR4X,512GB,SSD,Intel Integrated Iris Xe,14.0,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-inSa0cSJY-w1200-h1200/nSa0cSJY.jpg
66,Asus,VivoBook 14 X415EA-EK344WS Notebook,35990,64.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Intel UHD,14.0,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.hvSTrm6tiAeT-b846NbU0AHaE9?rs=1&pid=ImgDetMain
67,Acer,Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop,60990,70.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 3050,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.PCbxj_eAX3wRV5FKQxKW_AHaFO?rs=1&pid=ImgDetMain
68,Xiaomi,Redmi Book 14 2023 Laptop,43990,69.32352941,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB,DDR5,512GB,SSD,Intel Iris Xe Graphics,14.0,2880,1800,Windows 11 OS,1,https://neofiliac.com/x/P/32/34/1614596408.jpg
69,Asus,Vivobook 16X 2023 K3605ZF-MB541WS Laptop,62990,72.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,16.0,1920,1200,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iTzauPiqr-w1200-h1200/TzauPiqr.jpg
70,MSI,GF63 Thin 11UC-1294IN Gaming Laptop,65990,76.0,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16GB,DDR4,1TB,Hard-Disk,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-ihEwFxvRV-w1200-h1200/hEwFxvRV.jpg
71,Infinix,INBook Y1 Plus Neo XL30 Laptop,23990,69.32352941,11th Gen Intel Celeron N5100,"Quad Core, 4 Threads",8GB,LPDDR4X,512GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-ie14cSoYp-w1200-h1200/e14cSoYp.jpg
72,Asus,TUF Gaming F15 FX506HC-HN362WS Gaming Laptop,61990,72.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.g48MxUmZaI6fJvugoW_CyQHaEu?rs=1&pid=ImgDetMain
73,Dell,Inspiron 3525 Laptop,36990,62.0,5th Gen AMD Ryzen 3 5425U,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Radeon Graphics,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.ku2MRKHQY1ZPeLkQ_hvOuwHaHa?rs=1&pid=ImgDetMain
74,Asus,Vivobook 16X 2022 M1603QA-MB511WS Laptop,50970,65.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Vega 7 Graphics,16.0,1920,1200,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iOS7dujUa-w1200-h1200/OS7dujUa.jpg
75,Dell,Precision 5550 Laptop,184999,70.0,10th Gen Intel Core i7 10750H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA ,15.6,1920,1200,Windows 10 OS,0,https://th.bing.com/th/id/OIP.dMvrvY1DgXAk7Z_LYLhvNAAAAA?rs=1&pid=ImgDetMain
76,HP,Omen 16-XD0007ax Gaming Laptop,109990,76.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,1TB,SSD,6GB NVIDIA GeForce RTX 4050,16.1,1920,1080,Windows 11 OS,1,https://cdn.siasat.com/wp-content/uploads/2020/07/hp-omen-1024x768.jpg
